EMP_ID,AGE,GENDER,STATUS,EMPLOYMENT,SUFFICIENT_INCOME,SALARY,TO_DO_COMPLETED,DAILY_STRESS,CORE_CIRCLE,SUPPORTING_OTHERS,SOCIAL_NETWORK,ACHIEVEMENT,FLOW,DAILY_STEPS,SLEEP_HOURS,LOST_VACATION,PERSONAL_AWARDS,TIME_FOR_HOBBY,HEALTHY_DIET,WORK_LIFE_BALANCE_SCORE
63,25 to 35,Male,in a relation,flight_attendant,1,Low,4,2,5,4,4,2,4,6,7,8,4,8,5,648.8
64,25 to 35,Male,divorced,checkin_agent,1,Low,5,1,2,1,5,1,4,8,6,5,4,1,1,649
65,36 to 50,Female,married,checkin_agent,1,Low,5,5,4,10,0,10,1,2,9,0,10,1,2,656.9
66,25 to 35,Female,in a relation,flight_attendant,1,Low,8,3,8,7,6,6,4,5,6,4,5,4,3,680.7
67,25 to 35,Female,single,checkin_agent,1,Low,8,3,8,7,6,6,4,5,6,4,5,4,3,663.7
68,25 to 35,Male,divorced,flight_attendant,1,Medium,5,1,3,2,4,1,2,10,7,0,5,3,2,661.5
69,51 or more,Female,single,checkin_agent,1,Medium,0,1,1,1,3,1,0,6,7,2,3,1,3,609.7
70,25 to 35,Female,single,flight_attendant,1,Low,7,2,4,10,10,1,0,1,8,0,6,2,3,656.5
71,25 to 35,Male,divorced,flight_attendant,1,Low,9,3,10,10,10,3,3,8,8,0,5,6,4,739.5
72,25 to 35,Female,divorced,checkin_agent,1,Medium,8,5,0,2,3,0,2,10,4,0,5,1,3,657.5
73,36 to 50,Female,divorced,flight_attendant,1,Low,1,4,2,2,3,1,0,4,4,0,1,0,0,528.8
74,51 or more,Male,in a relation,checkin_agent,1,Low,10,3,8,10,10,4,2,7,6,10,10,1,4,694.7
75,51 or more,Female,divorced,checkin_agent,1,Low,10,1,4,2,2,0,1,4,8,10,4,5,5,662.2
76,25 to 35,Female,divorced,flight_attendant,1,Low,8,2,1,10,10,3,2,5,7,1,5,2,5,704.7
77,36 to 50,Female,in a relation,checkin_agent,1,Medium,8,2,1,4,5,0,2,10,8,0,10,1,5,694
78,36 to 50,Female,single,flight_attendant,1,Low,8,2,1,4,5,0,2,10,8,0,10,1,5,694
79,25 to 35,Female,single,flight_attendant,1,Low,8,3,10,5,7,3,4,10,8,0,10,3,3,709.3
80,25 to 35,Male,in a relation,flight_attendant,1,Low,0,5,2,0,0,3,1,1,6,10,2,1,0,538.8
81,Less than 25,Male,single,flight_attendant,1,Low,2,1,2,1,3,4,2,8,8,0,1,1,1,654.5
82,51 or more,Female,single,checkin_agent,1,Low,10,1,4,10,4,5,1,1,8,0,0,3,5,680.3
83,25 to 35,Male,in a relation,checkin_agent,1,Low,0,5,2,0,0,3,1,1,6,10,2,1,0,538.8
84,25 to 35,Female,married,checkin_agent,1,Medium,7,4,7,5,7,8,2,3,6,6,10,0,3,651.4
85,25 to 35,Female,single,checkin_agent,1,Low,9,2,5,5,10,5,4,2,8,0,7,5,5,724.7
86,51 or more,Female,divorced,checkin_agent,1,Medium,5,2,6,10,10,5,2,6,6,1,8,2,5,677.5
87,51 or more,Female,in a relation,flight_attendant,1,Medium,6,4,2,10,10,6,5,7,6,10,10,3,4,696.4
88,36 to 50,Female,divorced,checkin_agent,1,Low,8,4,6,4,5,3,1,2,8,0,10,6,2,658.4
89,36 to 50,Female,single,flight_attendant,1,Low,10,0,3,10,7,6,4,8,8,0,10,5,5,749.7
90,36 to 50,Female,divorced,checkin_agent,1,Low,10,0,3,10,7,6,4,8,8,0,10,5,5,749.7
91,36 to 50,Female,in a relation,checkin_agent,1,Low,6,4,7,4,4,10,1,9,6,0,7,1,3,676.4
92,25 to 35,Female,in a relation,flight_attendant,1,Low,1,4,4,2,5,2,1,9,6,7,2,0,3,594.8
93,25 to 35,Female,in a relation,flight_attendant,1,Medium,9,3,1,10,10,8,5,10,8,2,8,5,5,758.6
94,25 to 35,Male,married,flight_attendant,1,Low,5,4,1,4,3,4,0,7,6,1,10,1,3,640.3
95,36 to 50,Male,divorced,checkin_agent,1,Low,8,2,3,8,10,2,1,8,7,2,2,1,3,678.1
96,36 to 50,Male,single,flight_attendant,1,Medium,8,3,4,10,10,3,3,4,6,0,10,1,2,678.8
97,36 to 50,Female,single,flight_attendant,1,Low,1,5,1,1,3,4,0,1,10,10,3,0,1,551.5
98,25 to 35,Female,divorced,flight_attendant,1,Low,9,5,2,10,8,1,2,10,6,3,4,2,5,639.2
99,25 to 35,Female,divorced,checkin_agent,1,Medium,9,3,6,10,10,8,6,7,7,5,7,5,1,718.7
100,25 to 35,Female,single,flight_attendant,1,Low,9,3,6,7,10,7,4,5,7,4,7,3,1,697.9
101,51 or more,Female,married,flight_attendant,1,Medium,5,3,3,5,5,5,3,4,7,0,5,4,2,670.5
102,36 to 50,Female,in a relation,checkin_agent,1,Low,4,3,10,10,10,2,3,3,7,7,5,2,4,666.9
103,25 to 35,Male,in a relation,checkin_agent,1,Low,4,4,10,4,8,6,0,8,6,0,4,2,5,638.8
104,25 to 35,Female,married,checkin_agent,1,Medium,3,4,3,10,8,0,1,5,6,0,4,5,5,651.8
105,25 to 35,Male,married,checkin_agent,1,Low,8,2,3,2,3,4,3,10,9,8,4,2,3,639.8
106,36 to 50,Female,single,flight_attendant,1,Low,5,2,8,8,5,3,1,6,7,0,2,2,3,687.9
107,25 to 35,Female,married,flight_attendant,1,Medium,1,3,10,3,4,0,2,2,7,9,1,0,2,593.6
108,25 to 35,Female,married,flight_attendant,1,Medium,6,4,8,8,3,1,1,5,8,10,10,1,3,626.7
109,25 to 35,Male,in a relation,flight_attendant,1,Medium,7,2,1,0,10,10,3,3,6,1,10,1,2,658.2
110,51 or more,Female,single,flight_attendant,1,Low,8,2,4,1,1,1,0,1,7,0,5,5,1,605.3
111,36 to 50,Female,in a relation,flight_attendant,1,Low,5,2,6,5,9,6,4,1,6,3,10,2,3,645.9
112,25 to 35,Male,in a relation,flight_attendant,1,Low,4,2,6,3,2,5,3,6,8,2,5,5,2,669.4
113,25 to 35,Female,in a relation,checkin_agent,1,Low,2,3,5,1,2,1,1,10,7,0,0,0,1,605.4
114,51 or more,Female,married,flight_attendant,1,Medium,9,2,7,7,5,3,2,5,6,0,5,2,3,690.9
115,Less than 25,Female,single,flight_attendant,1,Medium,7,2,7,4,3,5,7,1,9,8,10,5,5,709.4
116,Less than 25,Female,in a relation,checkin_agent,1,Low,7,2,7,4,3,5,7,1,9,8,10,5,5,709.4
117,25 to 35,Female,divorced,checkin_agent,1,Low,10,5,3,2,10,0,1,10,6,0,0,3,3,627.3
118,51 or more,Female,in a relation,flight_attendant,1,Low,5,5,10,3,2,4,2,4,8,0,10,3,2,643.5
119,25 to 35,Male,married,flight_attendant,1,Low,5,1,0,0,6,2,2,8,7,2,5,4,2,637.3
120,25 to 35,Female,in a relation,checkin_agent,1,Medium,5,2,8,4,5,2,1,9,10,0,1,2,1,665.3
121,25 to 35,Female,in a relation,checkin_agent,1,Low,5,2,8,4,5,2,1,9,10,0,1,2,1,665.3
122,25 to 35,Male,divorced,flight_attendant,1,Low,7,2,5,6,5,8,3,10,9,5,8,3,5,714.6
123,25 to 35,Female,married,flight_attendant,1,Medium,9,3,6,5,10,2,3,9,5,2,3,5,5,649
124,36 to 50,Female,divorced,flight_attendant,1,Medium,9,2,4,4,10,4,2,10,7,0,9,1,5,717.6
125,36 to 50,Male,married,checkin_agent,1,Medium,8,4,3,10,10,8,2,10,7,0,10,2,5,748.2
126,36 to 50,Female,married,checkin_agent,1,Medium,3,5,7,2,5,1,1,9,7,0,6,0,3,637.5
127,25 to 35,Female,single,flight_attendant,1,Medium,3,3,7,2,5,2,2,9,4,0,5,1,2,628.4
128,Less than 25,Male,in a relation,flight_attendant,1,Low,3,4,5,0,5,2,4,3,5,0,2,4,3,634.2
129,25 to 35,Male,divorced,checkin_agent,1,Low,2,4,7,4,4,3,0,3,9,1,5,3,5,653.7
130,25 to 35,Male,divorced,flight_attendant,1,Medium,8,3,5,6,2,10,2,10,8,10,10,4,1,656.6
131,36 to 50,Female,married,checkin_agent,1,Low,10,0,10,2,5,2,1,1,10,0,1,7,2,670.5
132,36 to 50,Female,in a relation,flight_attendant,1,Medium,2,2,1,3,7,1,1,1,8,5,0,0,1,588.5
133,36 to 50,Female,single,flight_attendant,1,Low,8,3,3,2,8,3,3,6,8,0,10,1,2,672.8
134,25 to 35,Male,single,flight_attendant,1,Low,7,4,3,3,10,4,2,10,6,3,6,3,5,695.3
135,36 to 50,Male,in a relation,checkin_agent,1,Medium,6,3,5,6,5,1,1,2,6,0,5,1,2,591.7
136,25 to 35,Female,in a relation,checkin_agent,1,Medium,8,2,5,1,10,2,3,5,9,0,3,1,3,649
137,51 or more,Female,single,flight_attendant,1,Low,8,3,10,6,10,4,4,7,7,5,10,2,5,708.5
138,Less than 25,Female,in a relation,checkin_agent,1,Low,9,1,6,6,4,6,4,3,6,0,10,2,1,673.5
139,25 to 35,Female,divorced,flight_attendant,1,Medium,1,4,1,8,3,1,1,4,5,0,1,0,0,595.3
140,51 or more,Female,divorced,checkin_agent,1,Medium,4,4,6,10,10,0,1,10,7,5,10,6,3,671.7
141,Less than 25,Female,in a relation,flight_attendant,1,Medium,0,4,4,2,3,3,1,10,5,2,0,2,3,625.4
142,Less than 25,Male,married,checkin_agent,1,Medium,7,1,6,2,7,5,6,7,10,0,1,3,5,705.7
143,36 to 50,Male,married,checkin_agent,1,Low,10,2,10,8,10,6,5,9,9,0,10,6,5,753.5
144,Less than 25,Male,in a relation,checkin_agent,1,Low,8,1,4,2,10,5,8,8,10,0,1,5,5,707.6
145,Less than 25,Male,in a relation,checkin_agent,1,Medium,9,0,4,4,8,1,7,10,10,0,3,5,5,713.1
146,51 or more,Female,single,flight_attendant,1,Medium,9,2,4,7,1,3,1,7,6,1,4,8,5,687.9
147,51 or more,Female,single,flight_attendant,1,Medium,5,3,4,10,8,10,5,2,6,0,10,6,2,729.4
148,51 or more,Female,divorced,checkin_agent,1,Medium,8,3,10,5,5,10,2,5,7,10,5,3,5,665.6
149,25 to 35,Male,in a relation,flight_attendant,1,Low,2,2,3,1,2,0,0,2,8,0,4,0,1,576.8
150,36 to 50,Female,divorced,checkin_agent,1,Medium,3,5,6,2,4,6,1,5,6,10,10,3,2,602.5
151,36 to 50,Female,single,flight_attendant,1,Low,5,4,5,8,4,3,4,7,6,10,5,2,3,669.2
152,36 to 50,Female,divorced,checkin_agent,1,Low,6,2,6,4,4,5,2,4,7,0,8,4,2,680.7
153,36 to 50,Female,divorced,checkin_agent,1,Medium,4,5,5,10,10,3,5,4,9,0,3,9,5,694.7
154,36 to 50,Female,divorced,flight_attendant,1,Low,3,4,2,10,3,1,4,1,9,7,3,0,3,612.5
155,36 to 50,Male,single,checkin_agent,1,Low,7,3,6,4,7,1,2,5,7,1,6,2,4,679.2
156,25 to 35,Male,single,checkin_agent,1,Low,7,3,3,0,10,3,6,3,8,5,10,6,2,677.3
157,36 to 50,Female,single,checkin_agent,1,Medium,10,1,8,10,10,3,6,6,7,0,4,1,5,730.4
158,36 to 50,Female,single,checkin_agent,1,Medium,10,5,3,6,4,3,4,2,8,0,10,4,3,658.4
159,36 to 50,Female,in a relation,flight_attendant,1,Medium,9,3,4,10,2,5,1,4,6,0,7,2,5,714.5
160,Less than 25,Female,married,checkin_agent,1,Low,0,5,5,6,10,0,4,6,6,10,10,1,5,619.7
161,25 to 35,Female,divorced,flight_attendant,1,Low,8,3,7,4,5,2,2,6,7,0,7,3,4,672.6
162,36 to 50,Female,married,flight_attendant,1,Medium,8,3,2,3,3,0,0,3,8,0,2,0,3,602.5
163,51 or more,Female,in a relation,checkin_agent,1,Medium,8,3,7,10,4,2,2,5,7,4,9,1,4,689.4
164,51 or more,Male,married,checkin_agent,1,Medium,8,2,10,6,6,4,10,2,7,4,10,4,3,683.7
165,51 or more,Male,married,flight_attendant,1,Medium,8,2,10,6,6,4,10,2,7,4,10,4,3,683.7
166,51 or more,Female,divorced,checkin_agent,1,Medium,9,5,1,6,4,4,6,4,6,6,6,0,1,632.9
167,25 to 35,Male,married,checkin_agent,1,Medium,5,1,5,3,7,5,2,5,8,0,10,1,1,665.8
168,51 or more,Female,single,flight_attendant,1,Low,10,3,10,10,6,6,7,6,6,0,5,6,5,733.6
169,51 or more,Female,in a relation,flight_attendant,1,Medium,8,2,10,10,10,2,2,10,8,0,3,2,5,711
170,25 to 35,Male,single,checkin_agent,1,Medium,2,3,2,2,1,2,0,3,10,10,2,0,1,558.7
171,51 or more,Female,single,checkin_agent,1,Medium,10,3,10,10,10,5,9,10,8,0,7,10,4,753.5
172,25 to 35,Female,married,flight_attendant,1,Medium,6,2,3,2,5,4,3,3,7,2,8,4,3,636.3
173,25 to 35,Female,married,checkin_agent,1,Low,4,3,8,4,1,2,1,2,9,10,7,1,3,604.2
174,51 or more,Male,single,flight_attendant,1,Medium,2,4,6,10,7,2,5,2,5,4,8,1,1,620.4
175,25 to 35,Female,in a relation,checkin_agent,1,Medium,7,4,5,10,6,3,1,10,5,7,0,0,3,645.8
176,25 to 35,Male,in a relation,checkin_agent,1,Medium,6,4,1,4,1,3,2,9,6,10,4,1,3,594.8
177,25 to 35,Male,married,checkin_agent,1,Medium,10,3,10,1,10,7,5,10,6,10,6,5,2,674.9
178,51 or more,Female,divorced,checkin_agent,1,Medium,10,3,5,8,10,5,5,10,6,0,4,4,5,715.7
179,51 or more,Male,married,checkin_agent,1,Low,1,1,2,0,1,1,2,1,6,0,5,0,2,596.6
180,Less than 25,Male,in a relation,flight_attendant,1,Low,4,1,4,2,4,6,3,2,8,3,10,3,5,680.5
181,Less than 25,Male,divorced,checkin_agent,1,Low,4,1,4,2,4,6,3,2,8,3,10,3,5,680.5
182,36 to 50,Female,married,checkin_agent,1,Low,10,2,8,8,8,0,5,10,7,0,7,1,3,715.9
183,51 or more,Female,in a relation,checkin_agent,1,Medium,5,3,5,8,2,2,2,10,7,0,5,1,3,639.4
184,25 to 35,Female,in a relation,flight_attendant,1,Medium,5,1,3,0,9,5,3,7,8,0,2,1,5,698.5
185,25 to 35,Male,divorced,checkin_agent,1,Low,2,1,9,8,10,1,1,2,8,2,8,0,0,639.7
186,51 or more,Female,in a relation,checkin_agent,1,Low,5,4,4,10,4,4,3,5,7,0,5,10,4,714.9
187,25 to 35,Female,single,flight_attendant,2,High,3,2,4,4,5,3,2,9,7,10,7,2,2,657.9
188,51 or more,Female,married,flight_attendant,2,High,5,2,6,1,10,1,6,3,8,0,4,1,4,658.6
189,51 or more,Female,single,flight_attendant,2,High,10,1,10,10,5,3,6,6,8,10,10,4,5,732.3
190,51 or more,Female,single,flight_attendant,1,Low,10,2,3,3,10,10,1,4,7,0,10,10,5,706.2
191,25 to 35,Female,in a relation,checkin_agent,1,Medium,9,4,7,6,6,1,1,9,5,0,4,0,3,642.2
192,51 or more,Female,in a relation,checkin_agent,1,Medium,4,2,3,4,5,4,5,7,9,3,8,2,5,702.1
193,25 to 35,Female,divorced,flight_attendant,1,Medium,5,3,10,10,8,5,3,6,7,0,10,5,2,699.8
194,51 or more,Male,married,checkin_agent,1,Low,7,2,2,10,10,0,6,5,7,10,5,8,4,665.6
195,Less than 25,Female,married,flight_attendant,1,Low,7,3,9,8,5,4,7,1,10,3,3,6,3,677.3
196,36 to 50,Female,in a relation,flight_attendant,1,Medium,7,2,8,10,10,5,5,10,7,0,10,4,5,729.5
197,25 to 35,Female,married,flight_attendant,1,Medium,2,3,5,4,5,4,2,1,6,0,5,1,0,628.9
198,25 to 35,Female,single,flight_attendant,1,Medium,2,5,4,4,4,0,0,1,8,0,2,1,2,583.4
199,25 to 35,Male,married,checkin_agent,1,Medium,5,4,4,0,3,2,3,1,8,5,3,5,0,597
200,25 to 35,Female,in a relation,checkin_agent,1,Low,6,4,10,7,3,4,0,8,7,5,10,3,5,679.8
201,36 to 50,Male,single,checkin_agent,1,Medium,2,4,0,9,8,0,2,4,9,0,4,4,2,628.4
202,36 to 50,Male,in a relation,checkin_agent,1,Medium,2,4,10,5,5,3,2,1,5,0,10,0,2,627
203,25 to 35,Male,in a relation,checkin_agent,1,Medium,7,1,8,10,5,0,8,7,8,0,10,10,2,739.3
204,36 to 50,Female,in a relation,flight_attendant,1,Medium,8,4,10,10,7,8,4,10,8,0,7,7,4,704.2
205,Less than 25,Female,divorced,checkin_agent,1,Medium,4,4,6,5,7,5,1,1,7,0,10,2,1,661.4
206,25 to 35,Female,single,flight_attendant,1,Low,6,4,10,7,3,4,0,8,7,5,10,3,5,679.8
207,36 to 50,Male,in a relation,checkin_agent,1,Low,8,4,8,4,4,0,3,4,6,6,5,1,2,615.9
208,51 or more,Female,single,flight_attendant,1,Low,8,4,5,7,7,7,7,8,8,0,10,4,4,741.2
209,36 to 50,Male,married,checkin_agent,1,Low,7,1,3,10,3,3,2,10,8,0,5,5,3,677
210,36 to 50,Male,in a relation,checkin_agent,1,Medium,7,1,3,10,3,3,2,10,8,0,5,5,3,677
211,51 or more,Male,single,flight_attendant,1,Medium,9,4,5,3,10,4,1,3,7,3,10,1,4,644.8
212,25 to 35,Male,single,flight_attendant,1,Medium,8,1,4,10,10,4,7,10,6,0,5,5,1,727.6
213,25 to 35,Male,single,flight_attendant,1,Low,8,1,4,10,10,4,7,10,6,0,5,5,1,727.6
214,36 to 50,Female,divorced,checkin_agent,1,Medium,7,4,1,10,1,3,2,3,6,5,10,1,3,608.9
215,25 to 35,Female,single,flight_attendant,1,Medium,9,1,9,10,10,5,6,2,7,0,10,6,3,734.7
216,25 to 35,Female,in a relation,checkin_agent,1,Medium,2,4,10,6,2,2,2,3,10,0,10,1,1,650.5
217,25 to 35,Male,divorced,flight_attendant,1,Medium,6,0,9,8,6,4,6,8,9,1,10,3,5,743.1
218,51 or more,Female,married,flight_attendant,1,Low,8,1,10,10,10,10,10,5,9,10,10,5,3,725.5
219,25 to 35,Male,single,checkin_agent,1,Low,8,1,7,7,10,7,10,8,6,0,10,5,5,749.3
220,36 to 50,Female,married,checkin_agent,1,Medium,8,4,5,4,10,6,7,10,6,0,7,5,3,703.8
221,51 or more,Female,in a relation,flight_attendant,1,Low,5,5,4,5,10,4,3,8,6,5,5,2,4,660.9
222,36 to 50,Male,single,flight_attendant,1,Medium,5,2,10,10,4,6,6,2,7,0,5,5,4,702.4
223,36 to 50,Male,single,checkin_agent,1,Low,4,5,2,10,10,3,4,5,10,10,10,2,2,639
224,36 to 50,Male,married,checkin_agent,1,Low,4,5,2,10,10,3,4,5,10,10,10,2,2,639
225,25 to 35,Male,in a relation,flight_attendant,1,Low,4,3,4,4,2,3,0,1,9,0,2,0,1,609.1
226,51 or more,Male,married,checkin_agent,1,Low,0,0,3,10,5,0,0,9,4,0,2,4,5,645.4
227,36 to 50,Female,in a relation,flight_attendant,1,Medium,6,2,5,4,9,5,2,7,8,0,9,3,4,688.3
228,36 to 50,Female,married,flight_attendant,1,Medium,6,2,5,4,9,5,2,7,8,0,9,3,4,688.3
229,25 to 35,Female,single,flight_attendant,1,Medium,6,1,9,3,4,6,2,4,9,0,6,3,4,698.1
230,25 to 35,Female,divorced,flight_attendant,1,Low,3,5,5,3,2,4,3,8,6,8,4,3,5,615
231,36 to 50,Female,divorced,checkin_agent,1,Medium,9,2,8,8,7,8,5,9,7,7,6,5,4,727.6
232,36 to 50,Female,single,checkin_agent,1,Medium,6,1,10,7,8,10,8,5,7,7,10,3,4,720
233,36 to 50,Female,married,flight_attendant,1,Medium,6,3,10,10,10,10,6,10,7,7,4,4,5,727.8
234,51 or more,Female,divorced,checkin_agent,1,Medium,10,0,10,10,10,6,6,8,8,0,10,3,5,754.8
235,36 to 50,Male,divorced,flight_attendant,1,Low,6,4,4,3,4,3,4,3,6,0,4,1,1,624.2
236,36 to 50,Female,married,flight_attendant,1,Medium,8,2,4,3,6,7,1,7,8,0,4,1,4,676.4
237,25 to 35,Male,married,checkin_agent,1,Medium,3,4,1,0,0,0,0,2,7,3,2,0,3,573.2
238,51 or more,Female,married,flight_attendant,1,Medium,0,5,1,10,0,0,5,1,5,10,10,0,2,581.1
239,36 to 50,Female,single,flight_attendant,1,Low,6,3,2,3,5,2,1,3,7,10,2,2,5,624.4
240,25 to 35,Female,single,flight_attendant,1,Low,5,1,5,4,7,4,3,6,8,10,4,5,3,667.7
